n mega mini
100 0.777771 0.7943
600 1.10184 1.01682
1100 0.928022 0.944864
1600 0.86284 0.966469
2100 1.04629 0.956057
2600 1.01335 0.91195
3100 0.896945 0.942039
3600 0.931705 0.944522
4100 0.90819 0.928263
4600 0.923603 0.930235
5100 0.844491 0.950708
5600 0.901034 0.948814
6100 1.03597 0.956651
6600 0.958956 0.952289
7100 0.955782 0.941639
7600 0.923603 0.936393
8100 0.904999 0.946609
8600 0.991432 0.952295
9100 0.907043 0.953829
9600 0.925628 0.942351
10100 0.92986 0.944894
10600 0.958456 0.958039
11100 0.945938 0.946095
11600 0.959642 0.936056
12100 0.98989 0.951847
12600 0.95601 0.95029
13100 0.993736 0.953624
13600 0.94076 0.93882
14100 0.994968 0.952752
14600 0.962225 0.937371
15100 0.921993 0.949198
15600 0.949778 0.946833
16100 0.903374 0.942096
16600 0.961086 0.942531
17100 0.958 0.940174
17600 0.933546 0.943039
18100 1.00498 0.951909
18600 0.962282 0.956395
19100 0.957452 0.942772
19600 0.963285 0.938812
20100 0.923845 0.947661
20600 0.943897 0.9496
21100 0.960234 0.943036
21600 0.933505 0.950938
22100 0.982772 0.943265
22600 0.941671 0.955074
23100 0.919605 0.942815
23600 0.948732 0.948906
24100 0.958901 0.960004
24600 0.945735 0.935958
25100 0.948199 0.940475
25600 0.94563 0.945806
26100 0.954706 0.936428
26600 0.963076 0.939665
27100 0.96468 0.950142
27600 0.964112 0.947502
28100 0.960104 0.945317
28600 0.963715 0.944745
29100 0.963527 0.944309
29600 0.941996 0.953651
30100 0.956064 0.952071
30600 0.949973 0.942203
31100 0.912193 0.943574
31600 0.921449 0.95239
32100 0.94647 0.93924
32600 0.962372 0.941527
33100 0.92375 0.945175
33600 0.954274 0.940213
34100 0.979056 0.943872
34600 0.923041 0.943909
35100 0.94867 0.94197
35600 0.935346 0.943647
36100 0.945013 0.931139
36600 0.959198 0.949771
37100 0.957801 0.943075
37600 0.94222 0.941726
38100 0.945675 0.934379
38600 0.930655 0.944649
39100 0.959035 0.944109
39600 0.951836 0.938419
40100 0.963243 0.946906
40600 0.94707 0.945276
41100 0.937678 0.945865
41600 0.942066 0.941444
42100 0.935727 0.945437
42600 0.934101 0.941798
43100 0.952589 0.935264
43600 0.957943 0.943842
44100 0.944657 0.944676
44600 0.956301 0.945945
45100 0.946345 0.945875
45600 0.976691 0.945436
46100 0.962723 0.94475
46600 0.933826 0.945602
47100 0.950127 0.943817
47600 0.942598 0.935926
48100 0.941289 0.943765
48600 0.95521 0.945357
49100 0.938948 0.939
49600 0.94928 0.94732
50100 0.948151 0.938743
50600 0.93859 0.945932
51100 0.960037 0.944383
51600 0.954126 0.947907
52100 0.950008 0.942799
52600 0.944674 0.943926
53100 0.947496 0.943631
53600 0.936663 0.943089
54100 0.911652 0.946306
54600 0.940341 0.948412
55100 0.960921 0.938548
55600 0.961547 0.945701
56100 0.936514 0.945587
56600 0.9583 0.942907
57100 0.95706 0.94862
57600 0.938794 0.947016
58100 0.923687 0.945906
58600 0.926755 0.940488
59100 0.936516 0.942254
59600 0.947093 0.944642
60100 0.942125 0.949184
60600 0.93756 0.9435
61100 0.942936 0.938157
61600 0.937018 0.94415
62100 0.93417 0.947706
62600 0.94488 0.946778
63100 0.948794 0.942115
63600 0.943934 0.949775
64100 0.937784 0.941522
64600 0.954756 0.947106
65100 0.940852 0.945777
65600 0.929383 0.947714
66100 0.95074 0.94075
66600 0.931632 0.948075
67100 0.962941 0.940733
67600 0.964879 0.942025
68100 0.934096 0.952406
68600 0.949538 0.941719
69100 0.931974 0.948405
69600 0.953496 0.937513
70100 0.952381 0.942928
70600 0.952246 0.941182
71100 0.945276 0.945425
71600 0.939082 0.944299
72100 0.926232 0.937868
72600 0.947841 0.94789
73100 0.939363 0.941476
73600 0.959665 0.944862
74100 0.967228 0.943161
74600 0.938199 0.94341
75100 0.957844 0.941359
75600 0.955496 0.94146
76100 0.949345 0.941159
76600 0.946829 0.943355
77100 0.925684 0.944055
77600 0.934002 0.942676
78100 0.941591 0.947222
78600 0.942899 0.94812
79100 0.941855 0.942127
79600 0.959511 0.949712
80100 0.932645 0.944438
80600 0.943385 0.945268
81100 0.939127 0.936898
81600 0.939449 0.934243
82100 0.950069 0.940122
82600 0.950203 0.943106
83100 0.945773 0.9476
83600 0.94 0.946643
84100 0.929556 0.943888
84600 0.947276 0.945781
85100 0.932685 0.936629
85600 0.942457 0.947348
86100 0.938339 0.939667
86600 0.949648 0.941638
87100 0.938727 0.938716
87600 0.949351 0.94067
88100 0.935797 0.947186
88600 0.950926 0.940296
89100 0.962284 0.946533
89600 0.944328 0.943948
90100 0.943511 0.939104
90600 0.938197 0.950504
91100 0.95215 0.942634
91600 0.960645 0.951529
92100 0.961974 0.947226
92600 0.946176 0.943808
93100 0.957803 0.94168
93600 0.941468 0.944342
94100 0.953203 0.94376
94600 0.959162 0.943077
95100 0.941647 0.946649
95600 0.940688 0.945269
96100 0.931949 0.942496
96600 0.953595 0.940504
97100 0.958196 0.945721
97600 0.941533 0.945777
98100 0.926824 0.944298
98600 0.957423 0.943281
99100 0.932776 0.94669
99600 0.937269 0.940631
