n mode kind time_us
500 combined random 1918
600 combined random 2089
700 combined random 1464
800 combined random 2556
900 combined random 4144
1000 combined random 2314
1100 combined random 3354
1200 combined random 1172
1300 combined random 1157
1400 combined random 1129
1500 combined random 1166
1600 combined random 1252
1700 combined random 1367
1800 combined random 1396
1900 combined random 1458
2000 combined random 1573
2100 combined random 1790
2200 combined random 1884
2300 combined random 1955
2400 combined random 2064
2500 combined random 2079
2600 combined random 1947
2700 combined random 1987
2800 combined random 2129
2900 combined random 2056
3000 combined random 2093
3100 combined random 2050
3200 combined random 2172
3300 combined random 2234
3400 combined random 2277
3500 combined random 2453
3600 combined random 2436
3700 combined random 2517
3800 combined random 2563
3900 combined random 2716
4000 combined random 2714
4100 combined random 3043
4200 combined random 3246
4300 combined random 3312
4400 combined random 3413
4500 combined random 3426
4600 combined random 3585
4700 combined random 3471
4800 combined random 3549
4900 combined random 3576
5000 combined random 3587
5100 combined random 3726
5200 combined random 3702
5300 combined random 3862
5400 combined random 3838
5500 combined random 3805
5600 combined random 3862
5700 combined random 3974
5800 combined random 3938
5900 combined random 4011
6000 combined random 3989
6100 combined random 4096
6200 combined random 4097
6300 combined random 4262
6400 combined random 4258
6500 combined random 4468
6600 combined random 4455
6700 combined random 4677
6800 combined random 4652
6900 combined random 4853
7000 combined random 4935
7100 combined random 4925
7200 combined random 5070
7300 combined random 5068
7400 combined random 5304
7500 combined random 5280
7600 combined random 5438
7700 combined random 5495
7800 combined random 5680
7900 combined random 5636
8000 combined random 5773
8100 combined random 5821
8200 combined random 6192
8300 combined random 6353
8400 combined random 6626
8500 combined random 6686
8600 combined random 6822
8700 combined random 6957
8800 combined random 6935
8900 combined random 6982
9000 combined random 7045
9100 combined random 7195
9200 combined random 7310
9300 combined random 7245
9400 combined random 7257
9500 combined random 7365
9600 combined random 7388
9700 combined random 7419
9800 combined random 7730
9900 combined random 7694
500 combined reversed 267
600 combined reversed 346
700 combined reversed 371
800 combined reversed 411
900 combined reversed 489
1000 combined reversed 566
1100 combined reversed 684
1200 combined reversed 739
1300 combined reversed 770
1400 combined reversed 786
1500 combined reversed 809
1600 combined reversed 870
1700 combined reversed 971
1800 combined reversed 1024
1900 combined reversed 1104
2000 combined reversed 1178
2100 combined reversed 1360
2200 combined reversed 1434
2300 combined reversed 1497
2400 combined reversed 1528
2500 combined reversed 1566
2600 combined reversed 1603
2700 combined reversed 1649
2800 combined reversed 1671
2900 combined reversed 1693
3000 combined reversed 1702
3100 combined reversed 1748
3200 combined reversed 1835
3300 combined reversed 1924
3400 combined reversed 2001
3500 combined reversed 2072
3600 combined reversed 2164
3700 combined reversed 2262
3800 combined reversed 2313
3900 combined reversed 2393
4000 combined reversed 2459
4100 combined reversed 2639
4200 combined reversed 2851
4300 combined reversed 2923
4400 combined reversed 2999
4500 combined reversed 3077
4600 combined reversed 3150
4700 combined reversed 3173
4800 combined reversed 3201
4900 combined reversed 3452
5000 combined reversed 3301
5100 combined reversed 3323
5200 combined reversed 3478
5300 combined reversed 3387
5400 combined reversed 3412
5500 combined reversed 3457
5600 combined reversed 3478
5700 combined reversed 3509
5800 combined reversed 3521
5900 combined reversed 3578
6000 combined reversed 3587
6100 combined reversed 3687
6200 combined reversed 3674
6300 combined reversed 3770
6400 combined reversed 3840
6500 combined reversed 3917
6600 combined reversed 4004
6700 combined reversed 4228
6800 combined reversed 4185
6900 combined reversed 4401
7000 combined reversed 4336
7100 combined reversed 4413
7200 combined reversed 4499
7300 combined reversed 4583
7400 combined reversed 4811
7500 combined reversed 4754
7600 combined reversed 4922
7700 combined reversed 4957
7800 combined reversed 5232
7900 combined reversed 5150
8000 combined reversed 5523
8100 combined reversed 5565
8200 combined reversed 5758
8300 combined reversed 5934
8400 combined reversed 6134
8500 combined reversed 6206
8600 combined reversed 6411
8700 combined reversed 6651
8800 combined reversed 6519
8900 combined reversed 6560
9000 combined reversed 6708
9100 combined reversed 6777
9200 combined reversed 6879
9300 combined reversed 6953
9400 combined reversed 6844
9500 combined reversed 6873
9600 combined reversed 6912
9700 combined reversed 6989
9800 combined reversed 6974
9900 combined reversed 6961
500 combined almost_sorted 273
600 combined almost_sorted 353
700 combined almost_sorted 377
800 combined almost_sorted 426
900 combined almost_sorted 497
1000 combined almost_sorted 576
1100 combined almost_sorted 696
1200 combined almost_sorted 744
1300 combined almost_sorted 775
1400 combined almost_sorted 802
1500 combined almost_sorted 831
1600 combined almost_sorted 901
1700 combined almost_sorted 986
1800 combined almost_sorted 1054
